0_SensorIndex,0_AccelX,0_AccelY,0_AccelZ,0_GyroX,0_GyroY,0_GyroZ,0_MagX,0_MagY,0_MagZ,0_Quat1,0_Quat2,0_Quat3,0_Quat4,0_Sampletime,0_Package,
0,225,149,934,4,-6,0,-809,-172,-497,10608,-607,-2199,-12276,45823,100,
0,228,148,931,-8,-4,5,-803,-172,-491,10608,-607,-2199,-12276,45843,101,
0,233,147,936,4,-5,-1,-803,-172,-491,10608,-607,-2199,-12276,45863,102,
0,231,149,936,-5,5,-2,-803,-184,-497,10608,-607,-2199,-12276,45883,103,
0,226,148,932,-1,1,-1,-803,-184,-497,10608,-607,-2198,-12276,45903,104,
0,230,150,932,4,1,-4,-803,-184,-497,10608,-607,-2198,-12276,45923,105,
0,226,151,931,1,-2,-1,-803,-179,-504,10608,-607,-2198,-12276,45943,106,
0,229,150,931,3,-10,1,-803,-179,-504,10608,-608,-2199,-12276,45963,107,
0,230,147,933,-2,7,-1,-803,-179,-504,10608,-609,-2199,-12276,45983,108,
0,229,149,933,7,1,0,-803,-179,-504,10608,-609,-2199,-12276,46003,109,
0,229,148,934,-5,4,0,-803,-179,-504,10608,-609,-2199,-12276,46023,110,
0,227,148,935,3,5,-2,-809,-172,-491,10608,-609,-2199,-12276,46043,111,
0,228,149,934,3,-2,-1,-809,-172,-491,10608,-609,-2199,-12276,46063,112,
0,229,148,933,-1,-5,3,-792,-179,-504,10608,-609,-2199,-12276,46083,113,
0,226,150,926,1,-6,-1,-792,-179,-504,10608,-609,-2199,-12276,46103,114,
0,229,151,939,-1,-1,0,-792,-179,-504,10608,-609,-2199,-12276,46123,115,
0,233,146,933,-7,-13,1,-796,-172,-497,10607,-609,-2199,-12276,46143,116,
0,229,151,932,-1,1,-1,-796,-172,-497,10607,-610,-2199,-12276,46163,117,
0,229,147,940,-3,1,0,-792,-190,-497,10607,-611,-2199,-12277,46183,118,
0,229,150,933,8,-8,-2,-792,-190,-497,10607,-610,-2199,-12276,46203,119,
0,229,150,935,-1,3,0,-792,-190,-497,10607,-610,-2199,-12276,46223,120,
0,229,149,932,1,0,0,-796,-172,-491,10607,-610,-2199,-12276,46243,121,
0,227,148,929,0,-3,-2,-796,-172,-491,10607,-610,-2199,-12276,46263,122,
0,234,150,934,-2,-3,-2,-820,-196,-510,10607,-610,-2199,-12276,46283,123,
0,228,148,935,-5,8,-2,-820,-196,-510,10607,-610,-2199,-12276,46303,124,
0,226,145,936,-6,2,-1,-820,-196,-510,10607,-610,-2199,-12276,46323,125,
