% Mike Stanley's IMU Data Logger
% Date & Time   Thursday 06 January 2011  -  12:50:24 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Simple pickup of IMU
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
161 381 -37 577 1 1 353 -516 -534 -530 0 0 
162 379 -38 578 1 1 353 -515 -534 -529 0 0 
163 378 -37 579 1 1 353 -515 -534 -529 0 0 
164 382 -33 578 1 1 353 -515 -534 -529 0 0 
165 380 -42 578 1 1 354 -516 -535 -529 0 0 
166 376 -39 577 1 1 354 -516 -534 -529 0 0 
167 378 -41 579 1 2 354 -515 -534 -529 0 0 
168 379 -40 577 2 2 355 -515 -534 -530 0 0 
169 378 -43 578 2 2 354 -516 -534 -530 0 0 
170 384 -39 578 2 1 354 -515 -535 -529 0 0 
171 376 -41 579 1 1 355 -516 -534 -529 0 0 
172 379 -43 580 2 1 353 -516 -534 -529 0 0 
173 378 -45 579 1 1 353 -515 -534 -529 0 0 
174 381 -42 578 1 1 354 -516 -534 -530 0 0 
175 378 -38 576 1 1 354 -516 -534 -529 0 0 
176 378 -46 579 1 1 353 -515 -534 -530 0 0 
177 378 -45 578 1 2 353 -516 -534 -529 0 0 
178 379 -53 579 1 1 354 -516 -534 -530 0 0 
179 377 -43 577 1 1 353 -516 -534 -529 0 0 
180 375 -44 578 2 1 353 -515 -534 -529 0 0 
181 377 -47 579 1 1 353 -516 -534 -529 0 0 
182 378 -44 576 1 1 354 -515 -534 -529 0 0 
183 379 -46 579 1 1 353 -515 -534 -529 0 0 
184 379 -39 577 1 1 354 -515 -534 -529 0 0 
185 377 -40 578 1 1 353 -516 -534 -530 0 0 
186 377 -39 580 2 1 353 -515 -534 -529 0 0 
187 378 -36 579 1 1 353 -516 -534 -530 0 0 
188 378 -38 579 1 1 353 -516 -534 -529 0 0 
189 381 -47 578 1 2 354 -515 -534 -530 0 0 
190 378 -39 577 1 1 354 -516 -534 -529 0 0 
191 377 -40 580 1 1 354 -515 -534 -530 0 0 
192 379 -42 577 1 1 355 -516 -534 -529 0 0 
193 381 -43 577 1 1 354 -516 -534 -529 0 0 
194 378 -37 578 1 1 354 -515 -535 -530 0 0 
195 378 -43 579 1 1 353 -516 -535 -529 0 0 
196 377 -39 579 1 1 353 -515 -534 -530 0 0 
197 377 -37 578 1 1 352 -515 -534 -529 0 0 
198 379 -43 577 1 1 353 -515 -534 -529 0 0 
199 380 -42 580 1 1 353 -515 -535 -529 0 0 
200 380 -46 577 1 1 353 -516 -534 -529 0 0 
201 378 -46 578 2 1 354 -516 -534 -529 0 0 
202 377 -41 579 1 1 354 -516 -534 -529 0 0 
203 380 -42 578 1 1 354 -516 -534 -529 0 0 
204 380 -43 578 1 1 353 -516 -534 -529 0 0 
205 378 -38 580 1 1 354 -515 -535 -529 0 0 
206 378 -36 579 1 2 353 -515 -535 -529 0 0 
207 379 -43 579 1 2 354 -515 -535 -530 0 0 
208 376 -38 576 1 1 354 -516 -535 -530 0 0 
209 378 -37 580 1 2 354 -515 -534 -529 0 0 
210 379 -42 578 1 2 354 -515 -535 -530 0 0 
211 379 -42 577 1 1 354 -516 -534 -529 0 0 
212 375 -36 579 2 1 353 -516 -535 -530 0 0 
213 380 -40 579 1 1 354 -515 -534 -530 0 0 
214 377 -42 577 1 1 353 -516 -534 -530 0 0 
215 382 -47 581 1 1 353 -515 -534 -529 0 0 
216 378 -47 576 1 1 353 -516 -534 -529 0 0 
217 379 -47 577 1 1 353 -515 -534 -529 0 0 
218 381 -42 577 1 2 353 -515 -534 -529 0 0 
219 378 -37 578 1 2 353 -515 -534 -529 0 0 
220 384 -37 579 2 1 353 -516 -534 -530 0 0 
221 377 -35 578 1 1 353 -515 -533 -529 0 0 
222 379 -34 575 1 1 353 -515 -534 -529 0 0 
223 379 -41 579 2 1 354 -515 -534 -529 0 0 
224 380 -39 578 1 2 354 -515 -534 -529 0 0 
225 377 -40 579 1 2 354 -514 -534 -529 0 0 
226 377 -41 579 1 2 354 -515 -534 -530 0 0 
227 380 -41 579 1 2 354 -515 -534 -529 0 0 
228 379 -38 575 1 2 354 -515 -535 -529 0 0 
229 379 -36 579 2 1 354 -516 -534 -530 0 0 
230 379 -43 578 2 1 354 -516 -534 -529 0 0 
231 379 -48 577 2 1 353 -515 -534 -529 0 0 
232 378 -47 579 2 1 354 -515 -535 -530 0 0 
233 379 -46 578 2 1 353 -515 -534 -530 0 0 
234 376 -48 579 1 1 353 -515 -535 -530 0 0 
235 378 -44 578 1 1 353 -516 -534 -529 0 0 
236 377 -39 578 1 2 352 -516 -534 -529 0 0 
237 376 -42 580 1 2 352 -515 -534 -530 0 0 
238 377 -38 578 1 1 353 -516 -534 -529 0 0 
239 379 -39 579 1 1 353 -515 -534 -530 0 0 
240 379 -38 578 1 1 353 -515 -534 -530 0 0 
241 378 -44 578 1 1 354 -515 -534 -530 0 0 
242 381 -37 578 1 1 354 -516 -534 -529 0 0 
243 381 -35 578 1 1 354 -515 -534 -529 0 0 
244 378 -44 579 1 2 354 -515 -534 -530 0 0 
245 376 -42 579 1 2 355 -515 -534 -530 0 0 
246 379 -42 579 1 2 355 -515 -534 -530 0 0 
247 379 -38 577 1 2 354 -517 -534 -530 0 0 
248 378 -43 579 1 1 354 -516 -534 -529 0 0 
249 377 -36 578 2 1 354 -515 -534 -529 0 0 
250 379 -46 578 1 1 354 -516 -534 -529 0 0 
251 378 -43 579 1 1 354 -515 -534 -529 0 0 
252 377 -38 577 1 1 354 -515 -533 -530 0 0 
253 383 -34 577 1 1 354 -515 -534 -529 0 0 
254 379 -41 578 1 1 353 -516 -534 -529 0 0 
255 378 -44 580 1 1 353 -516 -534 -529 0 0 
256 378 -40 581 1 2 353 -515 -534 -529 0 0 
257 378 -38 580 1 2 353 -515 -534 -529 0 0 
258 383 -41 580 2 1 353 -515 -534 -529 0 0 
259 377 -41 578 2 1 353 -515 -534 -530 0 0 
260 379 -37 577 1 1 353 -516 -535 -529 0 0 
261 377 -36 577 1 1 354 -516 -534 -529 0 0 
262 380 -38 577 1 1 353 -515 -534 -529 0 0 
263 381 -43 578 1 1 354 -516 -535 -530 0 0 
264 376 -35 578 1 1 353 -515 -534 -530 0 0 
265 377 -42 577 1 2 353 -515 -534 -529 0 0 
266 378 -41 576 1 1 353 -515 -534 -529 0 0 
267 379 -41 579 1 1 353 -516 -534 -529 0 0 
268 378 -45 577 2 1 353 -516 -535 -530 0 0 
269 380 -43 578 1 1 354 -515 -535 -530 0 0 
270 380 -41 579 1 1 354 -515 -534 -530 0 0 
271 383 -43 577 2 1 355 -516 -534 -530 0 0 
272 383 -35 577 1 1 354 -516 -534 -529 0 0 
273 382 -39 578 1 1 354 -516 -534 -529 0 0 
274 376 -40 578 1 2 354 -516 -534 -530 0 0 
275 378 -42 580 1 1 354 -516 -535 -530 0 0 
276 381 -36 577 1 1 353 -515 -534 -529 0 0 
277 380 -35 578 1 1 352 -516 -534 -529 0 0 
278 378 -39 578 1 1 353 -516 -534 -529 0 0 
279 379 -44 580 1 1 353 -516 -534 -529 0 0 
280 379 -40 580 1 1 353 -516 -534 -529 0 0 
281 383 -39 578 2 1 354 -516 -534 -529 0 0 
282 378 -39 577 2 1 353 -515 -534 -529 0 0 
283 379 -39 579 0 4 354 -515 -534 -529 0 0 
284 380 -33 578 -5 31 354 -516 -534 -541 0 0 
285 381 -39 579 18 2 354 -516 -534 -546 0 0 
286 379 -30 577 5 -10 356 -517 -533 -546 0 0 
287 378 -35 579 4 -20 357 -518 -533 -542 0 0 
288 379 -45 579 12 -30 361 -521 -533 -539 0 0 
289 377 -44 580 10 -28 360 -524 -532 -533 0 0 
290 377 -47 579 2 -18 361 -527 -531 -527 0 0 
291 378 -47 577 3 1 366 -530 -532 -526 0 0 
292 375 -45 580 8 -5 365 -531 -528 -527 0 0 
293 375 -51 579 0 -6 380 -535 -524 -526 0 0 
294 374 -61 580 -4 -31 375 -539 -522 -524 0 0 
295 370 -71 580 -11 -41 376 -545 -521 -520 0 0 
296 371 -69 582 -16 -40 378 -551 -517 -515 0 0 
297 365 -78 580 -11 -31 372 -557 -516 -510 0 0 
298 362 -85 583 -9 -23 370 -561 -514 -507 0 0 
299 360 -82 584 -3 -14 367 -563 -520 -506 0 0 
300 360 -86 581 52 37 351 -547 -533 -517 0 0 
301 361 -86 582 65 76 386 -518 -535 -542 0 0 
302 363 -73 581 56 11 407 -502 -541 -552 0 0 
303 369 -74 580 36 -20 404 -495 -548 -551 0 0 
304 367 -71 580 22 -12 408 -498 -549 -547 0 0 
305 369 -68 579 18 -7 399 -504 -549 -542 0 0 
306 370 -68 576 12 -3 391 -504 -551 -540 0 0 
307 373 -60 575 12 7 385 -505 -550 -541 0 0 
308 374 -64 574 12 5 387 -507 -550 -543 0 0 
309 382 -55 573 15 -2 391 -508 -549 -543 0 0 
310 379 -58 571 23 -3 396 -509 -549 -541 0 0 
311 384 -55 569 27 4 394 -512 -549 -540 0 0 
312 380 -56 567 30 10 388 -514 -548 -538 0 0 
313 384 -55 566 34 24 384 -516 -548 -536 0 0 
314 387 -58 566 37 27 385 -517 -560 -536 0 0 
315 389 -66 564 39 27 388 -513 -551 -536 0 0 
316 391 -61 562 39 27 386 -514 -551 -536 0 0 
317 395 -55 560 39 24 392 -510 -551 -537 0 0 
