0_AccelX,0_AccelY,0_AccelZ,0_GyroX,0_GyroY,0_GyroZ
-1.63999998569489,-2.4300000667572,8.72000026702881,-202.625,23.6875,-11.6875
-1.66999995708466,-2.99000000953674,8.07999992370606,-201.625,10.3125,-15
-1.53999996185303,-3.53999996185303,7.94999980926514,-190.8125,6.8125,-3.75
-0.560000002384186,-4.01999998092651,8.42000007629395,-174.6875,6.625,10.9375
-0.449999988079071,-4.03000020980835,8.77999973297119,-164.875,3.625,19.5625
-0.449999988079071,-4.03000020980835,8.77999973297119,-187.1875,-4.5625,-1.0625
-0.699999988079071,-4.32999992370606,8.77999973297119,-187.1875,-4.5625,-1.0625
-1.76999998092651,-4.6399998664856,7.69000005722046,-208,-14.1875,-9.25
-1.28999996185303,-5.25,7.15999984741211,-216.25,-28.375,-9.25
-1.07000005245209,-5.63000011444092,7,-209.5625,-35.8125,-5.25
-1.07000005245209,-5.63000011444092,7,-180.5,-29.0625,3.0625
-1.10000002384186,-5.96999979019165,7.01999998092651,-180.5,-29.0625,3.0625
-0.620000004768372,-6.75,7.71000003814697,-165.25,-24.9375,8.8125
-0.850000023841858,-7.15000009536743,7.21999979019165,-142.875,4.25,10.0625
-2.03999996185303,-7.34999990463257,6.82000017166138,-125.375,24.375,3.3125
-2.03999996185303,-7.34999990463257,6.82000017166138,-130.4375,25.4375,-1.125
-1.4099999666214,-6.94999980926514,6.57999992370606,-139.8125,29.625,-1.1875
-1.44000005722046,-7.34999990463257,5.94999980926514,-132.75,38.3125,2.9375
-1.44000005722046,-7.34999990463257,5.94999980926514,-124,33.9375,5.6875
-1.80999994277954,-7.44999980926514,5.71999979019165,-121.3125,28.125,4.3125
-1,-8,6.34999990463257,-127.25,34.3125,-1.8125
-1.07000005245209,-7.90000009536743,6.28999996185303,-127.25,34.3125,-1.8125
-1.03999996185303,-8.21000003814697,6.05999994277954,-152.4375,49.6875,-18.5
-0.839999973773956,-8.53999996185303,5.86999988555908,-161.4375,59.25,-28.5
-0.579999983310699,-8.97000026702881,5.1100001335144,-162.5,63.3125,-41.25
-0.569999992847443,-8.80000019073486,4.75,-162.5,63.3125,-41.25
-0.610000014305115,-8.59000015258789,4.51999998092651,-155.9375,59.625,-50.4375
-0.560000002384186,-8.22000026702881,4.17999982833862,-163.6875,72.8125,4.75
-1.91999995708466,-7.75,2.83999991416931,-206.3125,73.25,34.375
-1.73000001907349,-9.17000007629395,2.51999998092651,-209.875,61.875,14.5
-2.25,-8.64999961853027,2.36999988555908,-209.875,61.875,14.5
-2.13000011444092,-8.14000034332275,2.33999991416931,-165.0625,48.0625,-26.3125
-2.35999989509583,-9.07999992370606,2.47000002861023,-159.8125,40.875,-2.625
-2.54999995231628,-9.81999969482422,2.48000001907349,-154.1875,37.5625,16.1875
